CAT: FK5-1032         1:11:27.213 +21:02:04.72 +00.271 -001.07  4.66 K0  J2000.0
RAA:   24.5093517  280.6508449
AA:   24.5132851  280.9856860
TAA:   24.5167609  280.9873629
ABS_AA:   24.5171279  280.9873298
TAPE_ALT_EW:   89.9678715   26.9806369
TAPE_ALT_EW_RAW:   89.9678715   26.9911156
LST: 06:06:46.820
RRD:    1.2102802   21.1492612
ARD:    1.2105345   21.1516754
CRD: 01:11:25.403  21:01:52.010
SVEL: -0.0034 0.0019
SERR: 410345186 -1061072134
CAT: FK5-0094         2:43:27.112 +27:42:25.68 +00.058 -001.17  4.66 B3  J2000.0
RAA:   46.1664723  278.5402705
AA:   46.1704055  278.8753969
TAA:   46.1694403  278.8767972
ABS_AA:   46.1698283  278.8767854
TAPE_ALT_EW:   89.9678660   48.6328254
TAPE_ALT_EW_RAW:   89.9678660   48.6397020
LST: 06:07:45.052
RRD:    2.7453823   27.7985171
ARD:    2.7457606   27.8005460
CRD: 02:43:24.725  27:42:16.811
SVEL: -0.0035 0.0017
SERR: -551897168 -1061072361
CAT: FK5-0144         3:54:07.922 +31:53:01.01 +00.045 -001.02  2.85 B1  J2000.0
RAA:   61.8598481  279.4591855
AA:   61.8637820  279.7949044
TAA:   61.8596469  279.7963666
ABS_AA:   61.8600210  279.7963432
TAPE_ALT_EW:   89.9678550   62.3582625
TAPE_ALT_EW_RAW:   89.9678550   62.3628474
LST: 06:08:32.474
RRD:    3.9248873   31.9469868
ARD:    3.9253277   31.9482801
CRD: 03:54:05.260  31:52:56.776
SVEL: -0.0035 0.0012
SERR: 1386903055 -1063515021
CAT: FK5-0004         0:10:19.257 +46:04:20.21 +00.074 +000.03  5.03 F0  J2000.0
RAA:   22.4763891  311.5021094
AA:   22.4797959  311.8376630
TAA:   22.4836954  311.8391611
ABS_AA:   22.4840028  311.8391379
TAPE_ALT_EW:   89.9678633   25.2686021
TAPE_ALT_EW_RAW:   89.9678633   25.2793655
LST: 06:10:23.606
RRD:    0.1907799   46.1924159
ARD:    0.1909970   46.1967956
CRD: 00:10:17.393  46:03:59.183
SVEL: -0.0027 0.0013
SERR: -76935382 -1060924204
CAT: FK5-0077         2:13:36.341 +51:03:57.04 +03.670 -017.12  5.31 K0  J2000.0
RAA:   43.0747510  312.5394014
AA:   43.0781239  312.8763153
TAA:   43.0779902  312.8774560
ABS_AA:   43.0782713  312.8774531
TAPE_ALT_EW:   89.9678688   45.6700461
TAPE_ALT_EW_RAW:   89.9678687   45.6774155
LST: 06:11:41.216
RRD:    2.2508460   51.1655893
ARD:    2.2513379   51.1687316
CRD: 02:13:34.041  51:03:39.352
SVEL: -0.0027 0.0000
SERR: 1624015154 -1061013069
CAT: FK5-0152         4:08:39.685 +47:42:45.09 +00.204 -003.05  4.04 B3  J2000.0
RAA:   61.7967952  313.6320909
AA:   61.8001312  313.9714959
TAA:   61.7962474  313.9726753
ABS_AA:   61.7965171  313.9726742
TAPE_ALT_EW:   89.9678550   62.4234122
TAPE_ALT_EW_RAW:   89.9678550   62.4279945
LST: 06:12:40.096
RRD:    4.1705876   47.7691279
ARD:    4.1711493   47.7702247
CRD: 04:08:36.382  47:42:40.991
SVEL: -0.0026 -0.0024
SERR: 710436941 -1063148650
CAT: FK5-0895        23:47:54.759 +67:48:24.56 +00.255 -000.13  5.04 A0  J2000.0
RAA:   26.8103898  335.2805763
AA:   26.8127961  335.6168900
TAA:   26.8162742  335.6181328
ABS_AA:   26.8164247  335.6181111
TAPE_ALT_EW:   89.9678633   29.5754528
TAPE_ALT_EW_RAW:   89.9678633   29.5854997
LST: 06:14:55.492
RRD:   23.8158202   67.9268172
ARD:   23.8161270   67.9321799
CRD: 23:47:52.286  67:47:59.301
SVEL: -0.0012 0.0005
SERR: 2022906703 -1060936059
CAT: FK5-0087         2:38:02.006 +72:49:05.84 -00.683 +001.65  5.16 K0  J2000.0
RAA:   40.4657590  341.7815748
AA:   40.4678241  342.1193031
TAA:   40.4683863  342.1204024
ABS_AA:   40.4684927  342.1204079
TAPE_ALT_EW:   89.9678633   43.2274367
TAPE_ALT_EW_RAW:   89.9678633   43.2352125
LST: 06:16:28.546
RRD:    2.6687293   72.9115284
ARD:    2.6698553   72.9144723
CRD: 02:37:55.536  72:48:53.530
SVEL: -0.0010 -0.0006
SERR: 1276195754 -1060936114
CAT: FK5-0175         4:48:00.267 +56:45:25.93 +00.608 -014.79  5.34 A2  J2000.0
RAA:   60.6905986  335.3561648
AA:   60.6930011  335.6970275
TAA:   60.6893914  335.6981649
ABS_AA:   60.6895372  335.6981804
TAPE_ALT_EW:   89.9678550   61.5432690
TAPE_ALT_EW_RAW:   89.9678550   61.5479977
LST: 06:17:24.276
RRD:    4.8301707   56.7940975
ARD:    4.8308644   56.7943315
CRD: 04:47:56.358  56:45:23.553
SVEL: -0.0014 -0.0035
SERR: 387526062 -1062730773
CAT: FK5-0524        14:08:50.905 +77:32:50.98 -00.979 +003.38  4.82 K0  J2000.0
RAA:   25.5199298   12.4593342
AA:   25.5201790   12.7958410
TAA:   25.5235099   12.7976861
ABS_AA:   25.5234283   12.7976772
TAPE_ALT_EW:   89.9678715   28.3774936
TAPE_ALT_EW_RAW:   89.9678715   28.3877398
LST: 06:23:05.783
RRD:   14.1468897   77.4453679
ARD:   14.1454993   77.4421736
CRD: 14:08:56.934  77:33:05.734
SVEL: 0.0009 0.0005
SERR: -314480196 -1060892372
CAT: FK5-0524        14:08:50.905 +77:32:50.98 -00.979 +003.38  4.82 K0  J2000.0
RAA:   25.5293034   12.4659252
AA:   25.5295522   12.8024328
TAA:   25.5328816   12.8042771
ABS_AA:   25.5328053   12.8042754
TAPE_ALT_EW:   89.9678660   28.3868686
TAPE_ALT_EW_RAW:   89.9678715   28.3971132
LST: 06:23:18.047
RRD:   14.1468897   77.4453679
ARD:   14.1454993   77.4421736
CRD: 14:08:56.926  77:33:05.725
SVEL: 0.0008 0.0005
SERR: 886012008 -1060892371
CAT: FK5-0280         7:22:52.051 +55:16:53.15 -00.036 -002.87  5.81 B8  J2000.0
RAA:   64.1972109   19.7755867
AA:   64.1970141   20.1186314
TAA:   64.1927024   20.1196104
ABS_AA:   64.1925880   20.1196892
TAPE_ALT_EW:   89.9678440   65.2186119
TAPE_ALT_EW_RAW:   89.9678440   65.2227292
LST: 06:24:46.156
RRD:    7.4104005   55.2393783
ARD:    7.4108997   55.2367603
CRD: 07:22:48.998  55:17:08.148
SVEL: 0.0013 -0.0048
SERR: 1550572399 -1062413684
CAT: FK5-0467        12:29:57.334 +58:24:20.71 -00.786 +009.14  5.35 A5  J2000.0
RAA:   25.9678688   35.7687846
AA:   25.9667414   36.1051596
TAA:   25.9704851   36.1068565
ABS_AA:   25.9702521   36.1068347
TAPE_ALT_EW:   89.9678633   29.0611408
TAPE_ALT_EW_RAW:   89.9678633   29.0712734
LST: 06:26:09.090
RRD:   12.5160566   58.2870018
ARD:   12.5157153   58.2831753
CRD: 12:29:58.130  58:24:41.526
SVEL: 0.0019 0.0009
SERR: 673158416 -1060783314
CAT: FK5-0368         9:50:59.366 +59:02:19.45 -03.797 -015.12  3.80 F0  J2000.0
RAA:   46.4116196   35.7649008
AA:   46.4104924   36.1034292
TAA:   46.4099326   36.1048406
ABS_AA:   46.4097036   36.1048606
TAPE_ALT_EW:   89.9678715   49.5001234
TAPE_ALT_EW_RAW:   89.9678715   49.5068556
LST: 06:27:06.227
RRD:    9.8752222   58.9365525
ARD:    9.8753688   58.9322076
CRD: 09:50:57.254  59:02:39.098
SVEL: 0.0021 -0.0008
SERR: -480236269 -1060783529
CAT: FK5-0307         8:08:27.436 +51:30:23.98 -00.629 -000.38  4.84 A2  J2000.0
RAA:   62.8089155   35.9756165
AA:   62.8077767   36.3175579
TAA:   62.8040225   36.3187790
ABS_AA:   62.8038153   36.3188258
TAPE_ALT_EW:   89.9678468   64.0370480
TAPE_ALT_EW_RAW:   89.9678468   64.0413646
LST: 06:28:02.443
RRD:    8.1679188   51.4433485
ARD:    8.1682868   51.4403263
CRD: 08:08:24.912  51:30:41.756
SVEL: 0.0023 -0.0036
SERR: -866557658 -1062119706
CAT: FK5-1295        11:25:45.736 +26:44:50.01 -00.276 +000.21  7.31 A2  J2000.0
RAA:   26.1901253   73.5298914
AA:   26.1873860   73.8654942
TAA:   26.1913865   73.8670283
ABS_AA:   26.1910194   73.8670582
TAPE_ALT_EW:   89.9678715   29.5303775
TAPE_ALT_EW_RAW:   89.9678715   29.5404319
LST: 06:29:36.824
RRD:   11.4484261   26.6284872
ARD:   11.4483367   26.6267578
CRD: 11:25:45.296  26:45:02.050
SVEL: 0.0034 0.0016
SERR: -1726054172 -1060668896
CAT: FK5-0390        10:27:53.009 +36:42:26.06 -00.985 -010.13  4.21 K0  J2000.0
RAA:   41.2018607   67.0004926
AA:   41.1993185   67.3372502
TAA:   41.2004230   67.3387247
ABS_AA:   41.2000384   67.3386581
TAPE_ALT_EW:   89.9678660   44.5390638
TAPE_ALT_EW_RAW:   89.9678660   44.5466214
LST: 06:30:36.212
RRD:   10.4854793   36.5963103
ARD:   10.4854984   36.5936038
CRD: 10:27:52.019  36:42:40.453
SVEL: 0.0032 0.0004
SERR: 1963712504 -1060669039
CAT: FK5-0320         8:32:54.975 +38:00:59.01 -00.873 -016.89  5.90 K0  J2000.0
RAA:   64.2991313   67.4553406
AA:   64.2965741   67.7951305
TAA:   64.2928044   67.7960939
ABS_AA:   64.2924305   67.7960820
TAPE_ALT_EW:   89.9678440   65.8104353
TAPE_ALT_EW_RAW:   89.9678440   65.8144541
LST: 06:32:13.128
RRD:    8.5719352   37.9415919
ARD:    8.5721838   37.9392654
CRD: 08:32:52.999  38:01:10.676
SVEL: 0.0030 -0.0008
SERR: 869511518 -1061857408
CAT: FK5-1284        11:00:33.649 +03:37:02.85 +00.096 -001.57  4.84 K0  J2000.0
RAA:   21.3956149   99.4648167
AA:   21.3925143   99.7995960
